port_name,GID_0,value_import,value_export,freight_total,country,continent,lon,lat
Abbot Point,AUS,97025.18422620663,3584289.0156625756,3681314.199888782,Australia,Australia,148.08574855224262,-19.86347273048479
Abenra,DNK,3467.4834637853883,4909.263942510017,8376.747406295406,Denmark,Northern-Europe,9.4328687515463,55.03613674896311
Aberdeen,GBR,2220214.530262513,1783934.4152860232,4004148.9455485363,United Kingdom,Western-Europe,-2.071933161301114,57.13970754858299
Aberdeen,USA,550074.877867623,933694.9443590462,1483769.8222266692,U.S.A.,North-America,-123.84900253523409,46.95740684544593
Abidjan,CIV,7076743.453232578,5174580.625578085,12251324.078810662,Cote d'Ivoire,Africa,-4.02121100946266,5.281131862318626
Abu Zaby,ARE,23707595.898391284,5903055.933043558,29610651.831434842,United Arab Emirates,Middle-East,54.49529187527073,24.508284060313873
Acajutla,SLV,3945531.120701671,1308122.001758032,5253653.122459703,El Salvador,Latin-America,-89.836482133761,13.576548729013748
Acapulco,MEX,371794.3880074572,369791.89839592384,741586.286403381,Mexico,Latin-America,-99.87665273945912,16.835825834203092
Aden,YEM,4067052.518812717,873954.1665046936,4941006.68531741,Yemen,Middle-East,44.95385819790221,12.804423036346144
Agadir,MAR,1495313.334582976,1317422.055565303,2812735.3901482793,Morocco,Africa,-9.640954132616516,30.423327619276023
Ahus,SWE,710.4280255955447,518.5485837245069,1228.9766093200515,Sweden,Northern-Europe,14.323414129865048,55.9281476828496
Aiyion,GRC,353.76099453714386,331.8906549863321,685.651649523476,Greece,Mediterranean,21.846493838096944,38.33475387391774
Ajman,ARE,1957.2359425122322,1322.7283388215574,3279.9642813337896,United Arab Emirates,Middle-East,55.45156842093279,25.423110788806916
Akita-Funakawa Ko,JPN,1062743.2991829186,750086.1657515217,1812829.4649344403,Japan,Asia,140.0525074687916,39.7625318482917
Ako,JPN,161654.17992686134,45087.00402815856,206741.1839550199,Japan,Asia,134.375873722863,34.738439552888686
Akureyri,ISL,484163.5848723397,380118.51322064037,864282.09809298,Iceland,Northern-Europe,-18.07839303021677,65.69586227498087
Al Ahmadi,YEM,2084683.7772212832,600409.277927232,2685093.055148515,Yemen,Middle-East,42.93012040605359,14.861116019377846
Al Aqabah,JOR,13229803.237662353,4857300.522069234,18087103.759731587,Jordan,Middle-East,34.98133433410047,29.452474342189138
Al Basrah,IRQ,3177.960092568033,223.0443306449523,3401.0044232129853,Iraq,Middle-East,47.841177870216015,30.525046506746936
Al Burayqah,LBY,111565.11095637623,861415.1058638587,972980.2168202349,Libya,Africa,19.594087391156314,30.414615149780975
Al Hamriyah LPG Terminal,ARE,3426259.7288604635,1601732.6618667925,5027992.3907272555,United Arab Emirates,Middle-East,55.49724762578011,25.47263067270494
Al Iskandariyh (Alexandria),EGY,25036194.86841109,7115868.275422182,32152063.143833272,Egypt,Africa,29.836444842191625,31.163581730234426
Al Jubayl,SAU,6109190.420573764,33638472.46390977,39747662.88448353,Saudi Arabia,Middle-East,49.68607374636832,27.049542718233543
Al Kuwayt,KWT,8413164.902058693,1701566.629549093,10114731.531607786,Kuwait,Middle-East,47.93272475961702,29.35477517146509
Al Ladhiqiyah,SYR,3734246.6173234438,479707.7432010072,4213954.360524451,Syria,Middle-East,35.76567246143961,35.530274738611745
Al Mukalla,YEM,375203.94910320896,158028.140075842,533232.089179051,Yemen,Middle-East,49.15314874529035,14.521045723797027
Albany,AUS,405918.7237749672,833002.4031644838,1238921.126939451,Australia,Australia,117.89734746911877,-35.04071054851423
Alborg,DNK,1601089.5365444815,895711.8512465337,2496801.387791015,Denmark,Northern-Europe,9.94930922442777,57.05683243550648
Alesund,NOR,316333.1771936232,334315.5226369617,650648.6998305849,Norway,Northern-Europe,6.167929515082579,62.471533880838486
Algeciras,ESP,15793430.073159678,9647673.243878445,25441103.317038123,Spain,Mediterranean,-5.419140859532775,36.15680617658855
Alger,DZA,7181070.78402591,751506.699021847,7932577.483047757,Algeria,Africa,3.069702610231199,36.76863601010422
Aliaga,TUR,1382061.3549249033,775735.0754598739,2157796.430384777,Turkey,Mediterranean,26.9508709797542,38.81915416572643
Alicante,ESP,218207.27533401904,449430.6839082727,667637.9592422917,Spain,Mediterranean,-0.49267375942788805,38.33102466328418
Almeria,ESP,194069.3590917746,717494.8474618995,911564.2065536741,Spain,Mediterranean,-2.4716628903556606,36.8312669051332
Alofi,NIU,5552.607402812524,167.28044373293176,5719.887846545455,Niue,Oceania,-169.9314607121994,-19.045917512159544
Alotoa,PNG,102752.12850222837,207011.56081142958,309763.68931365793,Papua New Guinea,Oceania,150.44893588107448,-10.323492598056571
Altamira,MEX,12403459.104972865,9682190.505418753,22085649.610391617,Mexico,Latin-America,-97.86425293390072,22.47789806882248
Alvika,NOR,126.26169863698921,92.36517458591821,218.62687322290742,Norway,Northern-Europe,6.372233511680491,62.47958124215767
Amagasaki,JPN,201827.49597983283,115294.15411841153,317121.65009824437,Japan,Asia,135.37510434911374,34.70276468297633
Amamapare,IDN,144258.35300858875,518550.1043090021,662808.4573175908,Indonesia,Asia,136.79364632803905,-4.828913650412673
Ambon,IDN,349484.08013829455,67742.48764393112,417226.56778222567,Indonesia,Asia,128.17258833590975,-3.6778041335482237
Amirabad Port,IRN,7478.717396448424,8432.770599247058,15911.487995695483,Iran,Asia,53.36607710789007,36.85191614327005
Ampenan,IDN,150909.5765047128,24126.123499219124,175035.70000393194,Indonesia,Asia,116.07102392646912,-8.64982866652913
Amsterdam,NLD,18889406.549634684,15016518.871929752,33905925.42156444,Netherlands,Western-Europe,4.824715861290412,52.408850320974935
Amuay (Bahia De Amuay),VEN,1074390.1265005888,10197276.32934363,11271666.45584422,Venezuela,Latin-America,-70.21196939062459,11.746846102434429
Anacortes,CAN,443492.8223404545,446100.7029453768,889593.5252858313,Canada,North-America,-122.62248121594436,48.497665580256964
Anchorage,USA,3329527.9460559026,102364.27972500394,3431892.2257809066,U.S.A.,North-America,-149.8893491982097,61.228972503822554
Ancona,ITA,582944.3841084628,660341.0973804803,1243285.481488943,Italy,Mediterranean,13.497957350802947,43.62001646217766
Andoany,MDG,36.61707168519494,1.083251829028747,37.70032351422368,Madagascar,Africa,48.21314482326535,-13.40744670519499
Andres (Andres LGN Terminal),DOM,4098857.795811332,3335163.7863328904,7434021.582144222,Dominican Republic,Caribbean,-69.6286454000977,18.422787393974236
Annaba,DZA,3352061.360768183,1213229.1713335589,4565290.532101742,Algeria,Africa,7.7699120357399725,36.899973869848196
Antalya,TUR,329694.15557586605,508996.8171689262,838690.9727447922,Turkey,Mediterranean,30.60841462171911,36.82086688795925
Antisranana,MDG,48959.25743117459,379292.0685624354,428251.32599360996,Madagascar,Africa,49.28752977849002,-12.269448629345638
Antofagasta,CHL,1041286.3462907507,7122852.50689125,8164138.853182,Chile,Latin-America,-70.4277708362286,-23.690515601148523
Antwerp,BEL,66077537.36781221,49724248.00226527,115801785.37007748,Belgium,Western-Europe,4.312566811382544,51.28517270388428
Anzali Port,IRN,1872.134112618985,3229.397328700681,5101.531441319667,Iran,Asia,49.51831947409697,37.472415563989685
Aomori Ko,JPN,480861.21005530574,155058.7551985601,635919.9652538658,Japan,Asia,140.77663948024073,40.842806482717506
Apia,WSM,329083.3761107703,62812.96377999814,391896.3398907684,Samoa,Oceania,-171.7595182953345,-13.82377114280151
Apra Harbor,GUM,249955.45012850277,7412.108522870316,257367.55865137308,Guam,Oceania,144.66149072700182,13.451923370457695
Aratu,BRA,4824042.249353235,2201783.311299123,7025825.5606523575,Brazil,Latin-America,-38.48840818290625,-12.785419158180957
Arawak,BRB,4313.0181034845755,1022.0423077859717,5335.060411270547,Barbados,Caribbean,-59.65110700153258,13.283343607150439
Ardalstangen,NOR,857781.2608718049,133059.27743337632,990840.5383051812,Norway,Northern-Europe,7.706502598554146,61.2340901634341
Ardel,NOR,14.232903702759957,79.7592263631152,93.99213006587516,Norway,Northern-Europe,6.170152751156748,59.145882016817694
Argentia,CAN,374733.81639136694,111343.56773536152,486077.38412672846,Canada,North-America,-53.98385491053677,47.29509220459725
Arhus,DNK,7933911.21502275,6995240.831518234,14929152.046540983,Denmark,Northern-Europe,10.225709086305384,56.15059238822851
Arkhangels'k,RUS,71794.53920205368,72740.66315182521,144535.20235387888,Russia,Northern-Europe,40.5642728123505,64.54778807264645
Arrecife,ESP,71522.14982863325,33965.107842301346,105487.2576709346,Spain,Western-Europe,-13.532978600899122,28.966064837555795
Arzew El Djedid,DZA,2347197.6870721257,19141696.306143638,21488893.993215762,Algeria,Africa,-0.2503506934612621,35.82293323258116
As Suways,EGY,20869.211382159876,111644.82763638184,132514.03901854172,Egypt,Africa,32.55021426608439,29.9468716653464
Ash Shariqah,ARE,2478169.531686701,1694306.338697754,4172475.8703844547,United Arab Emirates,Middle-East,55.381549187478406,25.368331586237662
Ashdod,ISR,9476540.62270802,8221292.868138556,17697833.490846578,Israel,Middle-East,34.65078465725762,31.825063657053505
Ashqelon,ISR,1325849.2188380088,531232.3790503832,1857081.597888392,Israel,Middle-East,34.51678723614373,31.654143153276152
Aspropirgos,GRC,1881767.3133909304,263470.60817901755,2145237.921569948,Greece,Mediterranean,23.592064241391753,38.02902423052401
Astrakhan Port,RUS,0.09554645730196121,170.12519089676033,170.2207373540623,Russia,Eastern-Europe,48.02126952023,46.387331806699606
Atapupu,IDN,1201.2148031976149,8.113454261077162,1209.328257458692,Indonesia,Asia,124.86889299750395,-8.987294204915617
Auckland,NZL,8696507.325740568,2238417.0880250847,10934924.413765654,New Zealand,Oceania,174.78213327873337,-36.83911438859508
Augusta,ITA,783225.7339631907,2023503.3851395743,2806729.119102765,Italy,Mediterranean,15.203603356286484,37.20544658964777
Avatiu,COK,61508.91331398994,19626.863664435692,81135.77697842564,Cook Islands,Oceania,-159.77946800695375,-21.19916604947338
Aveiro,PRT,1173543.0562995952,875177.3133010108,2048720.369600606,Portugal,Western-Europe,-8.710654451707518,40.6459845786362
Aviles,ESP,650284.2238506243,592179.4770328903,1242463.7008835147,Spain,Western-Europe,-5.922450399158327,43.57806639366599
Avonmouth,GBR,27838362.183102973,8667988.94815897,36506351.131261945,United Kingdom,Western-Europe,-2.7108477499970576,51.500837745586445
Az Zawiya,LBY,12.132983195412198,2894.2090959333827,2906.342079128795,Libya,Africa,12.698118747855395,32.799725550334536
Bahai De La Habana,CUB,1478833.2634440123,129799.37575236593,1608632.6391963782,Cuba,Caribbean,-82.34306707536754,23.130061265334334
Bahia De Las Minas,PAN,457652.44397918583,23747.832975817284,481400.2769550031,Panama,Latin-America,-79.81607669762758,9.391166798140205
Bahia De Matarani,PER,1579441.0343248493,4123479.5960885826,5702920.630413432,Peru,Latin-America,-72.10706734031952,-17.000619421311356
Bahia De Valparaiso,CHL,4893977.921489181,4395598.567060376,9289576.488549557,Chile,Latin-America,-71.62022366738996,-33.034397392078574
Bahia Quintero (Ventanas),CHL,4251188.255327788,4216403.964924943,8467592.22025273,Chile,Latin-America,-71.50272360867577,-32.76884080628537
Bahia San Nicolas,PER,91746.58858414752,4927406.839996667,5019153.428580814,Peru,Latin-America,-75.1886320717127,-15.286784504805919
Bahia San Vicente,CHL,2853083.155419124,3222435.24992628,6075518.4053454045,Chile,Latin-America,-73.14269308377511,-36.73022771730735
Baie Comeau,CAN,1084492.001945287,673217.5426898365,1757709.5446351236,Canada,North-America,-68.12736385982839,49.246123590415614
Baie Ugue,NCL,5798.235150190553,142422.37186257972,148220.60701277028,New Caledonia,Oceania,165.5567393440599,-21.145371358927626
Bajo Grande,VEN,1766155.4439100632,2171904.9100211062,3938060.3539311695,Venezuela,Latin-America,-71.61716538792605,10.514050921510309
Bakar,HRV,38369.83186398571,25008.145127786567,63377.97699177227,Croatia,Mediterranean,14.551818561711961,45.28337528913895
Balboa,PAN,5988874.718928322,1343496.277087237,7332370.996015559,Panama,Latin-America,-79.56989029761058,8.955811099625459
Balikpapa,IDN,1706441.8625065133,9926971.607693657,11633413.47020017,Indonesia,Asia,116.77157337854771,-1.195332481417048
Baltimore,USA,61524125.24051756,19725787.419548005,81249912.66006556,U.S.A.,North-America,-76.5451050441524,39.22455261974271
Baltiysk,RUS,408859.92645793903,96982.16098345099,505842.08744139003,Russia,Eastern-Europe,19.91048457537416,54.641080320785555
Bamdar-E Pars Terminal,IRN,474449.6169395361,2140539.7792894198,2614989.396228956,Iran,Middle-East,52.24551002097419,27.709460242592407
Bamdar-E Shahid Reajie,IRN,15630460.241127875,15541476.981311228,31171937.222439103,Iran,Middle-East,56.071505908399764,27.110307609455344
Bandar Abbas,IRN,257278.70924151063,37549.6290278056,294828.33826931624,Iran,Middle-East,56.22504888943823,27.151730296641272
