lat,lon,ID,port_name,country,continent
-42.753,-65.01,265,Puerto Madryn,Argentina,Latin-America
18.332,-64.952,266,Charlotte Amalie,U.S. Virgin Islands,Caribbean
10.099,-64.87,267,Jose Terminal,Venezuela,Latin-America
17.7,-64.757,268,Limetree Bay,U.S. Virgin Islands,Caribbean
17.749,-64.706,269,Christiansted,U.S. Virgin Islands,Caribbean
10.244,-64.621,270,Puerto La Cruz,Venezuela,Latin-America
18.421,-64.611,271,Road Harbor,British Virgin Islands,Caribbean
10.858,-64.033,272,El Guamache,Venezuela,Latin-America
44.664,-63.578,273,Halifax,Canada,North-America
17.616,-63.251,274,The Bottom,Saba,Caribbean
18.018,-63.085,275,Coles Bay Oil Terminal,Sint Maarten,Caribbean
18.08,-63.084,276,Baie Du Marigot,Saint Martin,Caribbean
18.189,-63.073,277,Anguilla,Anguilla,Caribbean
18.01,-63.046,278,Phillipsburg,Sint Maarten,Caribbean
17.491,-62.998,279,Oranjestad,Sint Eustatius,Caribbean
17.901,-62.853,280,Gustavia,Saint-Barthelemy,Caribbean
17.289,-62.714,281,Basseterre,Saint Kitts and Nevis,Caribbean
8.353,-62.699,282,Palua,Venezuela,Latin-America
17.109,-62.624,283,Charlestown,Saint Kitts and Nevis,Caribbean
-38.787,-62.287,284,Puerto Ingeniero White,Argentina,Latin-America
16.704,-62.222,285,Plymouth,Montserrat,Caribbean
16.803,-62.209,286,Brades,Montserrat,Caribbean
17.134,-61.859,287,St Johns,Antigua and Barbuda,Caribbean
12.055,-61.757,288,St. George's,Grenada,Caribbean
10.188,-61.703,289,Point Fortin,Trinidad and Tobago,Caribbean
10.678,-61.641,290,Chaguaramas,Trinidad and Tobago,Caribbean
10.247,-61.634,291,Brighton,Trinidad and Tobago,Caribbean
16.221,-61.537,292,Pointe A Pitre,Guadeloupe,Caribbean
10.644,-61.512,293,Port of Spain,Trinidad and Tobago,Caribbean
10.391,-61.492,294,Point Lisa Port,Trinidad and Tobago,Caribbean
10.321,-61.475,295,Pointe A Pierre,Trinidad and Tobago,Caribbean
12.596,-61.416,296,Clifton,Saint Vincent and the Grenadines,Caribbean
15.324,-61.394,297,Roseau,Dominica,Caribbean
12.705,-61.329,298,Retreat,Saint Vincent and the Grenadines,Caribbean
13.01,-61.237,299,Port Elizabeth,Saint Vincent and the Grenadines,Caribbean
13.15,-61.231,300,Kingstown,Saint Vincent and the Grenadines,Caribbean
14.593,-61.049,301,Fort De France,Martinique,Caribbean
14.002,-61.008,302,Castries,Saint Lucia,Caribbean
10.137,-61.001,303,Galeota Point Terminal,Trinidad and Tobago,Caribbean
13.722,-60.957,304,Vieux Fort,Saint Lucia,Caribbean
-32.636,-60.756,305,Puerto San Martin,Argentina,Latin-America
-32.982,-60.605,306,Rosario,Argentina,Latin-America
53.333,-60.389,307,Goose Bay,Canada,North-America
46.176,-60.224,308,Sydney,U.S.A.,North-America
-33.362,-60.155,309,San Nicolas,Argentina,Latin-America
-3.162,-59.95,310,Manaus,Brazil,Latin-America
13.283,-59.651,311,Arawak,Barbados,Caribbean
13.073,-59.597,312,Bridgetown,Barbados,Caribbean
47.573,-59.141,313,Port Aux Basques,Canada,North-America
-34.087,-59.015,314,Zarate,Argentina,Latin-America
-34.157,-58.942,315,Campana,Argentina,Latin-America
-38.576,-58.706,316,Quequen,Argentina,Latin-America
-34.611,-58.355,317,Buenos Aires,Argentina,Latin-America
6,-58.303,318,Linden,Guyana,Latin-America
6.787,-58.178,319,Georgetown,Guyana,Latin-America
-34.85,-57.897,320,La Plata,Argentina,Latin-America
6.255,-57.519,321,New Amsterdam,Guyana,Latin-America
-34.9,-56.215,322,Montevideo,Uruguay,Latin-America
5.823,-55.13,323,Paramarico,Suriname,Latin-America
47.779,-54.016,324,Come By Chance Harbor,Canada,North-America
47.295,-53.984,325,Argentia,Canada,North-America
47.563,-52.699,326,St John's,Canada,North-America
-31.783,-52.327,327,Pelotas,Brazil,Latin-America
4.852,-52.256,328,Degrad Des Cannes,French Guiana,Latin-America
-32.077,-52.089,329,Rio Grande,Brazil,Latin-America
-30.025,-51.25,330,Porto Alegre,Brazil,Latin-America
-28.229,-48.653,331,Imbituba,Brazil,Latin-America
-26.902,-48.653,332,Itajai,Brazil,Latin-America
-26.215,-48.622,333,Sao Francisco,Brazil,Latin-America
-25.477,-48.582,334,Paranagua,Brazil,Latin-America
-1.469,-48.576,335,Belem,Brazil,Latin-America
-23.929,-46.335,336,Santos,Brazil,Latin-America
-23.804,-45.392,337,Sao Sebastiao,Brazil,Latin-America
-2.622,-44.363,338,Itaqui,Brazil,Latin-America
-23.064,-44.228,339,Gebig,Brazil,Latin-America
-22.979,-43.9,340,Guaiba Island Terminal,Brazil,Latin-America
-22.853,-43.153,341,Rio De Janeiro,Brazil,Latin-America
-22.379,-41.768,342,Macae,Brazil,Latin-America
-21.86,-41,343,Brasil Port,Brazil,Latin-America
-20.326,-40.331,344,Vitoria,Brazil,Latin-America
-20.281,-40.235,345,Tubarao,Brazil,Latin-America
-19.843,-40.059,346,Portocel,Brazil,Latin-America
-3.525,-38.799,347,Porto Pecem,Brazil,Latin-America
-12.754,-38.623,348,Madre De Deus,Brazil,Latin-America
